from,to,relationship,weight,year_beginning,year_end
ropo,wofr,2,3,1960,1969
rore,MF,99,99,99,99
rosm,chma,2,3,1967,1969
rosm,erde,2,3,99,99
rosm,MF,99,99,1968,99
rowi,chju,4,3,1955,1993
rowi,chma,5,3,1955,1958
rugo,MF,99,99,99,99
rumo,baho,2,1,1968,1969
rumo,baho,3,3,1969,1969
rumo,chma,2,2,1966,99
rumo,chwa,1,2,1968,99
rumo,demo,4,2,1951,2010
rumo,dewi,2,2,1966,99
rumo,MF,99,99,1966,1969
rumo,mabr,2,2,1966,1966
SA,MF,99,99,99,99
sabu,chwa,1,1,1969,1971
sago,jopu,5,2,1965,1968
sago,MF,99,99,1968,99
sana,pakr,1,1,1969,1969
scja,deta,1,1,1969,99
scja,jase,4,3,99,99
shco,baho,2,3,1967,99
shco,chma,2,2,1967,1969
shco,chma,3,2,1969,99
shco,dade,5,3,1967,1975
shco,MF,99,99,1967,1969
shta,abfo,2,3,1968,1969
shta,bapa,2,3,1965,1969
shta,brle,2,2,1967,1969
shta,dema,2,1,1967,1969
shta,deta,4,3,1952,1969
shta,FI,99,99,99,1969
shta,jase,5,3,1964,1969
shta,mara,2,2,1960,1969
shta,mifa,2,2,1966,1969
shta,papo,4,3,1969,1969
shta,phfo,5,3,1963,1969
shta,ribe,2,2,99,1969
shta,ropo,5,3,1966,1969
shta,shwe,2,2,99,1969
shta,teme,1,1,1968,1968
shta,wich,1,1,1968,1969
shta,wofr,2,2,1968,1969
shwe,FI,99,99,99,99
sisi,chma,1,1,99,99
stbo,chma,99,99,99,99
stgr,dosh,6,3,1969,99
stgr,dosh,6,1,1969,1969
stgr,lela,6,1,1969,1969
stgr,rola,6,1,1969,1969
stka,chma,3,1,99,99
stmc,chma,1,1,1968,1968
stmc,chwa,2,2,99,99
stpa,wiga,2,2,99,1969
stpal,MF,99,99,99,99
stro,MF,99,99,99,99
stsc,MF,99,99,99,99
suat,abfo,6,2,1969,1969
suat,chma,5,2,1968,99
suat,chwa,5,2,1968,1969
suat,daka,1,1,1970,1971
suat,elba,2,2,99,99
suat,gahi,6,1,1969,1969
suat,jase,6,2,1969,1969
suat,lela,6,1,1969,1969
suat,lika,2,1,1969,1970
suat,lika,3,1,1970,1971
suat,maal,2,1,99,99
suat,rica,1,1,1969,1970
suat,roho,1,1,1969,1971
suat,rola,6,1,1969,1969
suat,shta,6,2,1969,1969
suat,stpa,6,2,1969,1969
suat,thno,1,1,1969,1971
suat,wofr,6,2,1969,1969
suat,MF,99,99,99,99
suat,brha,5,3,1967,1969
suat,biva,2,2,99,1969
suat,dila,2,2,1968,1969
suba,chma,2,2,1969,99
suba,joha,2,2,1967,1969
suba,MF,99,99,1969,99
suba,maco,2,2,99,1969
teme,chma,3,2,1968,1968
teme,ropo,1,1,1968,1968
teme,shta,1,1,1968,1968
thga,MF,99,99,99,99
thno,chma,1,1,1969,1971
thno,chwa,1,1,1969,1971
thno,leva,1,1,1969,1971
thno,lika,1,1,1969,1971
thno,pakr,1,1,1969,1971
thno,suat,1,1,1969,1971
thwa,baro,5,2,99,99
thwa,baro,5,3,99,99
thwa,chma,2,2,99,99
thwa,chwa,2,2,1968,1969
thwa,MF,99,99,1966,99
tomi,chma,2,2,99,99
unbe,chma,2,2,99,99
unmh,chma,1,1,1989,99
unmi,chma,7,1,1973,1973
unno,chma,3,1,99,99
unpr,chma,3,1,99,99
unsc,chma,1,1,1971,99
vama,chma,4,3,1968,99
vama,chma,4,99,1968,99
vama,mabr,4,3,1968,99
vama,mabr,4,3,1968,99
vepl,MF,99,99,99,99
vibu,chma,1,1,1969,99
vihe,rohe,5,3,1948,1988
waev,maka,2,2,99,99
wica,chwa,2,2,99,99
wich,ropo,1,1,1968,1969
wich,shta,1,1,1968,1969
wiga,papo,2,1,1967,99
wiga,stpa,2,2,99,99
wigo,AB,99,99,99,99
wigo,maal,5,3,1973,1978
wima,chma,4,1,1934,1961
wima,kama,5,2,1934,99
wofr,abfo,5,3,1967,1969
wofr,chwa,6,1,1969,1969
wofr,jase,2,3,1968,1969
wofr,ropo,2,3,1960,1969
wofr,shta,2,2,1968,1969
beun,AB,99,99,99,99
rast,chma,1,1,99,99
rast,chwa,1,1,1968,1969
rast,MF,99,99,1968,1969
